Title,Year,Rating,Poster,Quote,Type,Verified
Avatar: The Last Airbender,2005,8.6,https://image.tmdb.org/t/p/w342/cHFZA8Tlv03nKTGXhLOYOLtqoSm.jpg,,cartoon,y
Supernatural,2005,8.1,https://image.tmdb.org/t/p/w342/KoYWXbnYuS3b0GyQPkbuexlVK9.jpg,,live-action,y
The X-Files,1993,8.3,https://image.tmdb.org/t/p/w342/5BD0kiTGnDxONqdrsswTewnk6WH.jpg,,live-action,y
The Legend of Korra,2012,8.3,https://image.tmdb.org/t/p/w342/5ppmZN3AbBsWKesTBGSStYJR4R1.jpg,,cartoon,y
Brooklyn Nine-Nine,2013,8.1,https://image.tmdb.org/t/p/w342/dzj0oLZWe3qMgK4jlgdKWPVxxIx.jpg,,live-action,y
The Dragon Prince,2018,8.4,https://image.tmdb.org/t/p/w342/d7PIRa6ez7ZEl9D4JUrnSsmcnVD.jpg,,cartoon,y
Star Wars: The Clone Wars,2008,8.5,https://image.tmdb.org/t/p/w342/e1nWfnnCVqxS2LeTO3dwGyAsG2V.jpg,,cartoon,y
Game of Thrones,2011,8.4,https://image.tmdb.org/t/p/w342/u3bZgnGQ9T01sWNhyveQz0wH0Hl.jpg,,live-action,y
Fullmetal Alchemist: Brotherhood,2009,8.6,https://image.tmdb.org/t/p/w342/5ZFUEOULaVml7pQuXxhpR2SmVUw.jpg,,anime,y
Arrested Development,2003,8.1,https://image.tmdb.org/t/p/w342/qMzwO952hMWQSCfHkp7IL20s4K7.jpg,,live-action,y
Gravity Falls,2012,8.3,https://image.tmdb.org/t/p/w342/dNxEEK5CdNQbp4YcEtICXelRqvP.jpg,,cartoon,y
Wayward Pines,2015,6.8,https://image.tmdb.org/t/p/w342/mK9MowBCPEn7RbsDXqN0MxyPc4.jpg,,live-action,y
The West Wing,1999,8.3,https://image.tmdb.org/t/p/w342/yqDWr5NAE7m1IWrygYwLyEB6pN0.jpg,,live-action,y
The Expanse,2015,7.8,https://image.tmdb.org/t/p/w342/5vQlVWkIMPhZ88OWchJsgwGEK9.jpg,,live-action,y
She-Ra and the Princesses of Power,2018,8.6,https://image.tmdb.org/t/p/w342/y6YLtlnV5FGh3Mhs5SUc80IQSV5.jpg,,cartoon,y
Hilda,2018,8.5,https://image.tmdb.org/t/p/w342/7VTOyLdvVvaYnxeWa4oEbMSZ1GK.jpg,,cartoon,y
Schitt's Creek,2015,7.4,https://image.tmdb.org/t/p/w342/iRfSzrPS5VYWQv7KVSEg2BZZL6C.jpg,,live-action,y
Fate/Zero,2011,8.1,https://image.tmdb.org/t/p/w342/hfTEDISVpFMqmp6uOGylsSakyXZ.jpg,,anime,y
New Girl,2011,6.9,https://image.tmdb.org/t/p/w342/v5S58vtEV0fM0Chf9Pws9yfXOXT.jpg,,live-action,y
Death Note,2006,8.6,https://image.tmdb.org/t/p/w342/qwuisvcM1H0iE5ov6DdkkWxuHvK.jpg,,anime,y
Bloodline,2015,7.3,https://image.tmdb.org/t/p/w342/qlZxERVeWhR2Vb82yKb5hp5nytY.jpg,,live-action,y
Fringe,2008,8.1,https://image.tmdb.org/t/p/w342/sY9hg5dLJ93RJOyKEiu1nAtBRND.jpg,,live-action,y
Firefly,2002,8.3,https://image.tmdb.org/t/p/w342/vZcKsy4sGAvWMVqLluwYuoi11Kj.jpg,,live-action,y
Stranger Things,2016,8.6,https://image.tmdb.org/t/p/w342/x2LSRK2Cm7MZhjluni1msVJ3wDF.jpg,,live-action,y
Lost,2004,7.9,https://image.tmdb.org/t/p/w342/og6S0aTZU6YUJAbqxeKjCa3kY1E.jpg,,live-action,y
Westworld,2016,8.1,https://image.tmdb.org/t/p/w342/y55oBgf6bVMI7sFNXwJDrSIxPQt.jpg,,live-action,y
Battlestar Galactica,2004,8.3,https://image.tmdb.org/t/p/w342/99PJSbcO2LeM10uOGWeFihNp77j.jpg,,live-action,y
Lost in Space,2018,7.6,https://image.tmdb.org/t/p/w342/83mK4CnvRPFSqcyO3s3lq6aDy1x.jpg,,live-action,y
Kipo and the Age of Wonderbeasts,2020,8.4,https://image.tmdb.org/t/p/w342/4yPluNRnnaO68VOhwDTA46wDXVN.jpg,,cartoon,y
